localfile	source_repo	source_path	url
fadhil-riyanto_nftables-config___001.nft.nft	fadhil-riyanto/nftables-config	_001.nft	https://github.com/fadhil-riyanto/nftables-config/blob/HEAD/_001.nft
archwrt_archwrt-dispatcher__filter.nft.nft	archwrt/archwrt-dispatcher	filter.nft	https://github.com/archwrt/archwrt-dispatcher/blob/HEAD/filter.nft
daveman1010221_nixos__hosts_whitey_nftables.nft.nft	daveman1010221/nixos	hosts/whitey/nftables.nft	https://github.com/daveman1010221/nixos/blob/HEAD/hosts/whitey/nftables.nft
julienbardi_homelab__scripts_homelab.nft.nft	julienbardi/homelab	scripts/homelab.nft	https://github.com/julienbardi/homelab/blob/HEAD/scripts/homelab.nft
ffmancera_nftables-mirror__files_nftables_ipv6-raw.nft.nft	ffmancera/nftables-mirror	files/nftables/ipv6-raw.nft	https://github.com/ffmancera/nftables-mirror/blob/HEAD/files/nftables/ipv6-raw.nft
DSU-DefSec_cyber__open2_nftables-1.0.9_files_nftables_ipv6-mangle.nft.nft	DSU-DefSec/cyber	open2/nftables-1.0.9/files/nftables/ipv6-mangle.nft	https://github.com/DSU-DefSec/cyber/blob/HEAD/open2/nftables-1.0.9/files/nftables/ipv6-mangle.nft
rotkonetworks_networking__backup_nftables_bkk06.nft.nft	rotkonetworks/networking	backup/nftables/bkk06.nft	https://github.com/rotkonetworks/networking/blob/HEAD/backup/nftables/bkk06.nft
nascs_debian11_armhf_rootfs__usr_share_doc_nftables_examples_ipv6-nat.nft.nft	nascs/debian11_armhf_rootfs	usr/share/doc/nftables/examples/ipv6-nat.nft	https://github.com/nascs/debian11_armhf_rootfs/blob/HEAD/usr/share/doc/nftables/examples/ipv6-nat.nft
kennyballou_cfg.nix__eligos_nftables-rules.nft.nft	kennyballou/cfg.nix	eligos/nftables-rules.nft	https://github.com/kennyballou/cfg.nix/blob/HEAD/eligos/nftables-rules.nft
0x8100_handytools__Linux_nft_nft.d_10-input.nft.nft	0x8100/handytools	Linux/nft/nft.d/10-input.nft	https://github.com/0x8100/handytools/blob/HEAD/Linux/nft/nft.d/10-input.nft
TiberiuBesleaga_mini-containe-in-c__rootfs_usr_share_doc_nftables_examples_ipv6-raw.nft.nft	TiberiuBesleaga/mini-containe-in-c	rootfs/usr/share/doc/nftables/examples/ipv6-raw.nft	https://github.com/TiberiuBesleaga/mini-containe-in-c/blob/HEAD/rootfs/usr/share/doc/nftables/examples/ipv6-raw.nft
mirandadrummond_openwrt__build_dir_target-mips_24kc_musl_nftables-json_nftables-1.0.8_files_nftables_ipv6-raw.nft.nft	mirandadrummond/openwrt	build_dir/target-mips_24kc_musl/nftables-json/nftables-1.0.8/files/nftables/ipv6-raw.nft	https://github.com/mirandadrummond/openwrt/blob/HEAD/build_dir/target-mips_24kc_musl/nftables-json/nftables-1.0.8/files/nftables/ipv6-raw.nft
ViniciusVViana_TDS_AP02__runc_rootfs_usr_share_doc_nftables_examples_ipv6-mangle.nft.nft	ViniciusVViana/TDS_AP02	runc/rootfs/usr/share/doc/nftables/examples/ipv6-mangle.nft	https://github.com/ViniciusVViana/TDS_AP02/blob/HEAD/runc/rootfs/usr/share/doc/nftables/examples/ipv6-mangle.nft
universal-ctags_ctags__Units_parser-nftables.r_nftables-limits.d_input.nft.nft	universal-ctags/ctags	Units/parser-nftables.r/nftables-limits.d/input.nft	https://github.com/universal-ctags/ctags/blob/HEAD/Units/parser-nftables.r/nftables-limits.d/input.nft
wikimedia_operations-puppet__modules_profile_files_firewall_base.nft.nft	wikimedia/operations-puppet	modules/profile/files/firewall/base.nft	https://github.com/wikimedia/operations-puppet/blob/HEAD/modules/profile/files/firewall/base.nft
progmaticltd_homebox__roles_firewall_templates_rules_10-outbound.nft.nft	progmaticltd/homebox	roles/firewall/templates/rules/10-outbound.nft	https://github.com/progmaticltd/homebox/blob/HEAD/roles/firewall/templates/rules/10-outbound.nft
CNES_pepsal__conf_pepsal.nft.nft	CNES/pepsal	conf/pepsal.nft	https://github.com/CNES/pepsal/blob/HEAD/conf/pepsal.nft
PaPerseller_r2s-armbian-configure__tproxy_ipv4.nft.nft	PaPerseller/r2s-armbian-configure	tproxy_ipv4.nft	https://github.com/PaPerseller/r2s-armbian-configure/blob/HEAD/tproxy_ipv4.nft
nix-community_nur-combined__repos_eh5_machines_r2s_files_nftables.nft.nft	nix-community/nur-combined	repos/eh5/machines/r2s/files/nftables.nft	https://github.com/nix-community/nur-combined/blob/HEAD/repos/eh5/machines/r2s/files/nftables.nft
lauyv_profile__sing_nftables.d_sing-box.nft.nft	lauyv/profile	sing/nftables.d/sing-box.nft	https://github.com/lauyv/profile/blob/HEAD/sing/nftables.d/sing-box.nft
HolgerHees_smartserver__roles_firewall_templates_etc_nftables_00_init.nft.nft	HolgerHees/smartserver	roles/firewall/templates/etc/nftables/00_init.nft	https://github.com/HolgerHees/smartserver/blob/HEAD/roles/firewall/templates/etc/nftables/00_init.nft
alecthw_chnlist__nftables_po0-example.nft.nft	alecthw/chnlist	nftables/po0-example.nft	https://github.com/alecthw/chnlist/blob/HEAD/nftables/po0-example.nft
zlylong_EdgeRouteGW__core_nftables_tproxy.nft.nft	zlylong/EdgeRouteGW	core/nftables/tproxy.nft	https://github.com/zlylong/EdgeRouteGW/blob/HEAD/core/nftables/tproxy.nft
a85tract_o2c__evaluation-projects_kernel_ruleset.nft.nft	a85tract/o2c	evaluation-projects/kernel_ruleset.nft	https://github.com/a85tract/o2c/blob/HEAD/evaluation-projects/kernel_ruleset.nft
9566618_shadowproxy__root_etc_shadowproxy_shadowproxy.nft.nft	9566618/shadowproxy	root/etc/shadowproxy/shadowproxy.nft	https://github.com/9566618/shadowproxy/blob/HEAD/root/etc/shadowproxy/shadowproxy.nft
ValdikSS_hoogmoon-testing__build_files_etc_v2ray_v2ray-redirect-lan.nft.nft	ValdikSS/hoogmoon-testing	build/files/etc/v2ray/v2ray-redirect-lan.nft	https://github.com/ValdikSS/hoogmoon-testing/blob/HEAD/build/files/etc/v2ray/v2ray-redirect-lan.nft
